Program,path,--version,-v,-V
Cyclone,Not Found,--,--,--
dc3dd,/usr/bin/dc3dd,dc3dd (dc3dd) 7.2.641|Copyright (C) 2008 Free Software Foundation  Inc.|,,
dcfldd,/usr/bin/dcfldd,dcfldd (dcfldd) 1.3.4-1|Written by: dcfldd by Nicholas Harbour  GNU dd by Paul Rubin  David MacKenzie and Stuart Kemp.|,,
dd,/bin/dd,dd (coreutils) 8.25|Copyright (C) 2016 Free Software Foundation  Inc.|,,
dd_rescue,/usr/bin/dd_rescue,,,
ddrescue,/usr/bin/ddrescue,GNU ddrescue 1.19|Copyright (C) 2014 Antonio Diaz Diaz.|,,GNU ddrescue 1.19|Copyright (C) 2014 Antonio Diaz Diaz.|
DDRescue-GUI,Not Found,--,--,--
esximager,Not Found,--,--,--
ewfacquire,/usr/bin/ewfacquire,ewfacquire 20180403||,ewfacquire 20180403||,ewfacquire 20180403||
ewfacquirestream,/usr/bin/ewfacquirestream,ewfacquirestream 20180403||,ewfacquirestream 20180403||,ewfacquirestream 20180403||
ftkimager,/usr/bin/ftkimager,,,
guymager,/usr/bin/guymager,|Using default log file name /var/log/guymager.log|,|Using default log file name /var/log/guymager.log|,|Using default log file name /var/log/guymager.log|
